IDs	Symbols
69908	Rab3b
69909	2610027K06Rik
69912	Nup43
69915	2610509F24Rik
69916	2610020F03Rik
69917	Nabp2
69918	2610020C07Rik
69920	Polr2i
69922	Vrk2
69923	Agk
69926	Dnah17
69928	Apitd1
69930	Zfp715
69932	2810004I08Rik
69934	Trmt10b
69938	Scrn1
69940	Exoc1
69941	2810408I11Rik
69942	Rnf113a1
69944	2810021J22Rik
69952	Tunar
69953	2810025M15Rik
69955	Fars2
69956	Ptcd3
69957	Cdc16
69960	2810403G07Rik
69961	Rpp25l
69962	Mettl18
69963	2810432F15Rik
69964	2810403D21Rik
69966	2810404M03Rik
69968	2810404F17Rik
69972	2810425M01Rik
69974	2810405F15Rik
69975	2810405F17Rik
69976	Galk2
69977	2810405K22Rik
69979	2810427C15Rik
69981	Tmem30a
69982	Spink2
69983	Sis
69984	1700025O08Rik
69986	1700025N23Rik
69987	Spaca9
69988	2010205J10Rik
69993	Chn2
69994	Rsc1a1
69996	1700027A07Rik
69999	1700027F09Rik
70000	2410024N13Rik
70001	1700028B04Rik
70002	1700028E11Rik
70003	1700028I16Rik
70004	1700028J19Rik
70005	Znf41-ps
70007	1700029J08Rik
70008	Ace2
70009	Ssty2
70011	1700030N03Rik
70012	Cep85
70016	1700030N18Rik
70018	2010309G21Rik
70019	2410039M03Rik
70020	Ino80b
70021	Nt5dc2
70024	Mcm10
70025	Acot7
70026	Tspo2
70028	Dopey2
70031	Cmtm8
70036	Dancr
70040	2610037D02Rik
70041	2610524E12Rik
70044	Tut1
70045	2610528A11Rik
70047	Trnt1
70050	2600014K08Rik
70052	Prpf4
70054	Ccdc89
70055	1700030L20Rik
70057	2210008F06Rik
70059	Degs2
70060	Spata3
70061	Sdr9c7
70062	Ctag2
70065	Ankrd60
70069	H1fnt
70073	Zdhhc25
70074	1700030P01Rik
70078	Nol7
70080	Igsf23
70081	Zfp995
70082	Lysmd2
70083	Metrn
70084	2300004M11Rik
70086	Cysltr2
70088	Meaf6
70090	2310005E17Rik
70093	Ube2q1
70094	2310008B10Rik
70097	Sash1
70099	Smc4
70100	2310015D24Rik
70101	Cyp4f16
70103	Znhit1
70108	2610001A08Rik
70110	Ifi35
70113	Odf3b
70118	Srrd
70120	Yars2
70122	Mllt3
70123	2210013O21Rik
70125	2210016H18Rik
70127	Dpf3
70129	Slc44a4
70133	2210406H18Rik
70134	2210011C24Rik
70135	2310043P16Rik
70138	2210417A02Rik
70141	2210414I22Rik
70143	2210414B05Rik
70144	Lrch3
70145	2210022D18Rik
70147	Plut
70152	Mettl7a1
70153	2210016F16Rik
70155	Ogfrl1
70156	2310046G18Rik
70157	2210409D07Rik
70160	Vps36
70162	Hk1os
70163	Lypd8
70165	2310044K18Rik
70166	Lipn
70167	2210414F02Rik
70176	2210411M09Rik
70177	2210415C06Rik
70178	Abhd17c
70184	2310066N15Rik
70185	2310068G24Rik
70186	Fam162a
70190	2610036A22Rik
70192	Cd209g
70194	2310075C17Rik
70202	Ctsll3
70203	2310061B05Rik
70205	2310068C19Rik
70207	Taco1
70208	Med23
70209	Tmem143
70213	2310075M01Rik
70218	Kif18b
70223	Nars
70225	Ppil3
70226	Rbm3os
70227	Zfp619
70230	3300002P13Rik
70231	Gorasp2
70233	Cd2bp2
70235	Poc1a
70237	Bhlhb9
70238	Rnf168
70239	Gtf3c5
70240	Ufsp1
70241	2810416A17Rik
70246	3300002P09Rik
70247	Psmd1
70248	Dazap1
70249	3100002H09Rik
70251	2010105D22Rik
70252	Jpx
70256	2010107C10Rik
70257	2010107E04Rik
70258	1500035N22Rik
70261	Chp2
70265	2010109P13Rik
70266	Kyat1
70267	2010109K09Rik
70274	Ly6g6e
70275	2310061L18Rik
70277	2310026G15Rik
70281	2310068J16Rik
70284	2310040G07Rik
70285	Rpf1
70286	2310067P03Rik
70289	2510016D11Rik
70290	2310079F09Rik
70291	Mkrn2os
70292	Afap1
70294	Rnf126
70295	2610011I18Rik
70296	Tbc1d13
70297	Gcc2
70298	2600010L24Rik
70299	2610012C04Rik
70300	Fuz
70307	2510042H03Rik
70308	2610005M20Rik
70309	2610005G05Rik
70310	Plscr3
70311	2510042O18Rik
70312	Cactin
70314	Rabep2
70315	Hdac8
70316	Ndufab1
70317	Arl16
70319	2600006K01Rik
70320	2610008G14Rik
70325	Pigw
70333	Cd3eap
70335	Reep6
70337	Iyd
70345	0610038B21Rik
70348	Ube2cbp
70349	Copb1
70350	Basp1
70351	Ppp4r1
70354	Secisbp2l
70355	Gprc5c
70356	St13
70357	Kcnip1
70358	Steap1
70359	Gtpbp3
70361	Lman1
70362	Actl10
70363	Fam135b
70365	Speer5-ps1
70369	Bag5
70370	Fbln7
70371	1700026D11Rik
70373	Gpatch2l
70375	Ica1l
70376	1700026H06Rik
70377	Derl3
70378	1810073G21Rik
70380	Mospd1
70381	Tecpr1
70382	Kctd2
70383	Cox10
70385	Spdl1
70386	2210017G18Rik
70387	Ttc9c
70392	Asb12
70393	2210416O15Rik
70394	Kptn
70396	Asnsd1
70397	Tmem70
70403	2310061A09Rik
70405	Calml3
70407	2310061G22Rik
70408	Polr3f
70409	2310066F23Rik
70410	2610024D14Rik
70412	2900002J02Rik
70415	Stk26
70417	Megf10
70419	2810408A11Rik
70420	Arpin
70422	Ints2
70423	Tspan15
70425	Csnk1g3
70426	Tekt5
70427	Mier2
70428	Polr3b
70430	Tbce
70432	Rufy2
70433	Draxin
70434	2610201A13Rik
70435	Inf2
70439	Taf15
70441	Mir124-2hg
70443	2610300A13Rik
70445	Cd248
70448	Atad3aos
70449	2610209C05Rik
70450	Unc13d
70451	Dhrs13
70453	2610105M22Rik
70454	Cenpl
70456	Mpc2
70457	2610303G11Rik
70458	2610318N02Rik
70459	2610303A01Rik
70460	2610306O10Rik
70461	Crtc3
70464	2610312I10Rik
70465	Wdr77
70466	Ckap2l
70469	2610311E24Rik
70470	Rprd1b
70471	2610304O13Rik
70472	Atad2
70474	5730405A10Rik
70475	5730409N16Rik
70477	5730407O05Rik
70478	Mipep
70480	5730407M17Rik
70481	Pnma1
70482	5730405A17Rik
70484	Slc35d2
70485	5730409N24Rik
70487	5730403I07Rik
70488	5730405O12Rik
70489	5730405O15Rik
70491	5730412P04Rik
70494	5730409K12Rik
70495	Atp6ap2
70496	5730406E14Rik
70497	Arhgap17
70499	5730409L17Rik
70503	Ddo
70507	5730411F24Rik
70508	Bbx
70509	5730405N03Rik
70510	Rnf167
70511	Eef2kmt
70515	5730407I07Rik
70516	5730408A14Rik
70517	5730410E19Rik
70521	5730420F10Rik
70522	5730415C11Rik
70523	5730420D15Rik
70524	5730414N17Rik
70527	Stambp
70530	Lrfn2
70532	5730433K22Rik
70533	Btf3l4
70536	Qpct
70537	5730419F03Rik
70538	5730435O14Rik
70544	Tmem242
70545	5730433N10Rik
70546	Zdhhc2
70548	5730437C12Rik
70549	Tln2
70550	5730416F02Rik
70551	Tmtc4
70552	Lrrc56
70556	Slc25a33
70558	5730437C11Rik
70560	Wars2
70561	Txndc16
70562	5730419A17Rik
70563	5730453C05Rik
70564	Fam213a
70567	Fra10ac1
70568	Cpne3
70571	Tcerg1l
70572	Ipo5
70573	Tbccd1
70574	Cpm
70575	Gfod2
70577	5730448F11Rik
70579	Zc3h11a
70580	5730478J17Rik
70584	Pak4
70591	5730455P16Rik
70592	5730480H06Rik
70593	Evx1os
70594	5730460C07Rik
70596	5730447C08Rik
70598	Filip1
70599	Ssfa2
70601	Ecd
70602	5730488B01Rik
70603	Mutyh
70604	Dnajb14
70605	Zdhhc24
70609	5730492I20Rik
70611	Fbxo33
70612	Tmem230
70615	Ankrd24
70616	Sugp1
70617	5730508B09Rik
70619	5730510P18Rik
70620	Ube2v2
70624	5730507A11Rik
70625	Med26
70626	5730522E02Rik
70629	5730512F23Rik
70630	5730493B19Rik
70638	Fam189a1
70639	5730521K06Rik
70640	Dcp2
70644	5730552O08Rik
70645	Oip5
70646	Naa30
70649	5730575I04Rik
70650	Zcchc8
70652	Tmem144
70656	5730526G10Rik
70661	Sik3
70673	Prdm16
70675	Vcpip1
70676	Gulp1
70680	3021401N23Rik
70681	Fam175a
70683	Utp20
70685	3830408D07Rik
70686	Dusp16
70691	3830403N18Rik
70693	Adgra3
70696	3830417A13Rik
70699	Nup205
70700	3021401L19Rik
70701	Nipal1
70708	3830422I06Rik
70713	Gpr137c
70715	6330405D24Rik
70716	6330406O05Rik
70717	Medag
70719	Arhgap45
70720	6330407A03Rik
70725	6330411D24Rik
70726	Angptl6
70727	Rasgef1a
70729	Nos1ap
70730	6330409D20Rik
70733	6330411E07Rik
70735	6330403N20Rik
70737	Cgn
70744	6330403L08Rik
70745	6330418B08Rik
70747	Tspan2
70749	6330408M09Rik
70750	Kdsr
70753	6330415B21Rik
70757	Hacd2
70760	6330417A16Rik
70762	Dclk2
70763	6330419E04Rik
70767	Prpf3
70769	Nolc1
70771	Gpr173
70772	Ggnbp1
70779	Prdm5
70782	4631402F24Rik
70784	Rasl12
70785	Dennd1c
70788	Klhl30
70789	Kynu
70790	Ubr5
70791	Hars2
70793	Gm9725
70796	Zdhhc1
70797	Ankib1
70798	4631422I05Rik
70799	Cep192
70800	4631405K08Rik
70802	Pwwp2a
70804	Pgrmc2
70807	Arrdc2
70808	4632415L05Rik
70809	Clec2g
70810	Krt25
70814	4921506L19Rik
70817	4633402D09Rik
70821	4921507P07Rik
70823	Hmgxb4
70824	4921504P20Rik
70825	4633401L03Rik
70827	Trak2
70828	4633401B06Rik
70829	Ccdc93
70831	Krtap31-1
70832	4921504A21Rik
70833	4733401A01Rik
70834	Spag9
70835	Prss22
70838	4921507H08Rik
70839	P2ry12
70840	Slc22a16
70843	Krt28
70844	4921508M14Rik
70845	4921508D12Rik
70846	Ttc6
70847	4733401D01Rik
70850	4921504P05Rik
70852	Alkbh3os1
70853	Vwa3b
70857	4921509J17Rik
70858	4921511I17Rik
70859	Lrrc63
70861	Akr1cl
70862	Spata16
70864	Fam47c
70866	Slco6d1
70867	4921521D15Rik
70868	4921515L22Rik
70869	4921522A10Rik
70870	4921516I12Rik
70871	4921517O11Rik
70872	4921519G19Rik
70873	Cnbd2
70874	4921513I03Rik
70875	4921513I08Rik
70876	4921517D16Rik
70879	4921511E18Rik
70880	4921525D07Rik
70881	Nt5c1b
70882	Armc3
70883	4921509A06Rik
70884	Ccdc81
70885	Ints10
70886	4921515E04Rik
70887	Dmrtc1a
70888	4921521C08Rik
70890	4921524M04Rik
70891	Spdya
70892	Ttll7
70893	Glb1l3
70894	Efcab3
70895	4921511E07Rik
70896	Speer1
70897	Fam71d
70898	Slain1os
70900	4921517D22Rik
70901	4921524L21Rik
70902	Lpcat2b
70904	4921515G04Rik
70906	4921522E08Rik
70909	4921504E06Rik
70911	Phyhipl
70912	Nckap5los
70913	4921523L03Rik
70917	4921509O07Rik
70918	Nsun7
70919	4921520J07Rik
70920	4921511H03Rik
70924	4921511C10Rik
70925	Cdkn2aip
70926	4921523P09Rik
70928	Trim69
70929	4921527H02Rik
70930	Nol8
70931	4921534E14Rik
70933	4931402G19Rik
70934	4931403G20Rik
70935	Speer4f1
70936	4931400O07Rik
70941	4921539E11Rik
70942	4931403E22Rik
70945	Mmrn1
70948	Wdr20rt
70950	Ccdc178
70951	Spata1
70952	Poteg
70954	4922502B01Rik
70955	4931403M11Rik
70956	Tex19.2
70957	Stamos
70960	4921531P14Rik
70961	4921532D01Rik
70962	4922502N22Rik
70963	4931402H11Rik
70964	4931418L13Rik
70966	4931415C17Rik
70967	Eva1c
70968	4931407J08Rik
70969	4930500F04Rik
70970	4931419H13Rik
70971	4931429P17Rik
70972	4931420L22Rik
70973	4931431B13Rik
70974	Pgm2l1
70976	Ccdc105
70977	Cabs1
70979	Fancd2os
70980	4931431F19Rik
70981	4931423N10Rik
70983	4931409D07Rik
70984	4931406C07Rik
70985	4931406E20Rik
70986	4931422A03Rik
70987	4931413K12Rik
70988	4931428L18Rik
70989	Jhy
70991	4931432E15Rik
70992	4931407E12Rik
70993	Prss54
70995	4931412I15Rik
70997	Spef1
70998	Phf6
70999	Naa40
71000	4931440J10Rik
71001	Mgat4e
71003	Prss41
71004	4931440P22Rik
71006	4932703K07Rik
71007	D7Ertd443e
71008	4933401D09Rik
71009	4933407I08Rik
71011	4933401B06Rik
71017	4933407E14Rik
71018	4933404K13Rik
71020	Spats1
71021	4933403J19Rik
71023	4933407C09Rik
71025	4933402C05Rik
71026	Speer3
71027	Tmem30c
71029	4933402C06Rik
71030	4933403O08Rik
71032	4933403L11Rik
71033	4933406K04Rik
71037	Prss55
71038	4933401H06Rik
71040	4933406B17Rik
71041	Pcgf6
71042	4933401J01Rik
71045	4933406I18Rik
71046	4933405L10Rik
71050	4933404I11Rik
71051	4933401L05Rik
71052	4933400B14Rik
71054	Ppp2r2cos
71056	4933405E24Rik
71057	4933402J10Rik
71058	4933400L20Rik
71059	Hexim2
71062	Tekt3
71063	Zfp597
71064	4933406B15Rik
71065	4933407O12Rik
71066	Hsfy2
71067	4933411E08Rik
71069	Stox2
71071	4933412O06Rik
71076	4933422E07Rik
71077	4933423N12Rik
71078	Adam30
71080	Sox5os1
71081	4933416E03Rik
71082	4933416M07Rik
71083	Dmrtc1c1
71084	4933409D19Rik
71085	Arhgap19
71086	4933412E12Rik
71087	4933409K08Rik
71088	4933412E24Rik
71089	Sept12
71090	4933411G06Rik
71091	Cdkl1
71092	4930452A19Rik
71093	Atoh8
71096	Sntg1
71097	4933421A08Rik
71099	Tssk4
71100	4933413L06Rik
71101	Uvssa
71103	Glt6d1
71106	4933413J09Rik
71107	4933423L19Rik
71111	Gpr39
71113	4933424H11Rik
71116	Stx18
71120	1700022A22Rik
71121	4933407I18Rik
71122	4933408N05Rik
71123	4933411B09Rik
71125	4933407G14Rik
71127	4933425E08Rik
71128	4933417C20Rik
71130	Sh2d6
71131	Zfp689
71132	Cabyr
71133	4933422A05Rik
71134	4933417E11Rik
71135	4933411O13Rik
71137	Rfx4
71138	Tmem217
71139	4933408K01Rik
71140	4933413I22Rik
71141	4933407L21Rik
71143	4933424L07Rik
71145	Scara5
71146	Golga7b
71147	Oxsm
71148	Mier1
71149	4933413G19Rik
71151	Eri2
71153	4933417O13Rik
71154	4933426K07Rik
71155	4933424C09Rik
71156	Lrrc72
71157	4933423K11Rik
71158	4933423P22Rik
71159	4933416I08Rik
71161	Prkag2os1
71162	4933421I07Rik
71163	Zfp626
71164	Zdhhc11
71165	4933421D24Rik
71166	4933424G06Rik
71168	4933421H06Rik
71169	Nbas
71170	4933423N03Rik
71172	4933415J04Rik
71173	4933426B08Rik
71174	4933416M06Rik
71175	Nipbl
71176	Fbxo24
71177	Ints13
71178	4933415b22rik
71180	4933416E14Rik
71181	4933411E06Rik
71182	4933417G07Rik
71183	Clec12b
71184	Usp46os2
71185	4933424C08Rik
71186	4933417D19Rik
71189	4933426I03Rik
71190	4933425M03Rik
71196	4933432G23Rik
71198	Otud1
71199	4933427I18Rik
71200	Dydc2
71203	4933434M16Rik
71205	4933431M02Rik
71206	Katnal2
71207	Nudt4
71208	4933440M02Rik
71209	4933436E23Rik
71210	4933434C23Rik
71213	Cage1
71215	4933436F18Rik
71216	4933427C19Rik
71217	4933431I19Rik
71218	4933428L01Rik
71220	4933427J07Rik
71223	Gpr15
71226	4933433G19Rik
71227	Daw1
71228	Dlg5
71229	4933428P19Rik
71232	4933429K18Rik
71233	Enkur
71234	4933427E13Rik
71235	4933427I22Rik
71236	Rsph14
71237	4933435G04Rik
71238	Sdhaf3
71240	Osbpl7
71241	Dmrtc2
71242	Spata24
71243	4933438A12Rik
71244	4933436H12Rik
71246	4933437I04Rik
71247	4933438B17Rik
71248	4933428M09Rik
71249	4933430N04Rik
71250	4933428C20Rik
71251	4933430L12Rik
71252	4933433N18Rik
71254	Naif1
71259	4933433M23Rik
71263	Mro
71264	4933432I03Rik
71265	4933431G14Rik
71266	4933436P19Rik
71268	Lrrfip2
71270	4933438K21Rik
71274	4933433G15Rik
71275	Noxred1
71276	Ccdc57
71277	4933435N07Rik
71278	4933430A20Rik
71279	Slc29a3
71280	4933429H19Rik
71281	Apobec4
71282	4933434P08Rik
71285	4933430H16Rik
71286	4933439J24Rik
71287	Cpvl
71288	4933440K10Rik
71289	4933436N17Rik
71290	4933436I20Rik
71291	4933435E02Rik
71293	4933428C19Rik
71294	Nr5a1os
71295	4933431K14Rik
71296	Crnde
71297	Platr20
71298	4933431J24Rik
71299	4933439N06Rik
71300	Rnf148
71301	4930593A02Rik
71302	Arhgap26
71303	4933437G19Rik
71304	Wbscr25
71306	Mfap3l
71307	1700018A04Rik
71308	4933430H06Rik
71309	4933435C09Rik
71310	Tbc1d9
71311	4933428L12Rik
71313	Fsip1
71314	4933433F19Rik
71316	4933430M04Rik
71319	4933439K11Rik
71320	4933435F18Rik
71321	4933440J02Rik
71322	4933431C10Rik
71323	Rassf8
71325	Tchhl1
71326	Treml1
71327	5430402P08Rik
71330	Rcbtb1
71331	5430411C19Rik
71333	5430408I23Rik
71334	5430416G10Rik
71335	5430430K15Rik
71336	Rbks
71337	5430402M21Rik
71338	Tprg
71339	5430400D12Rik
71340	Riok1
71341	5430434N17Rik
71342	5430434I15Rik
71345	Ano9
71348	5430439M09Rik
71349	5430427M07Rik
71351	5430402E10Rik
71353	5230401M06Rik
71354	Wdr31
71355	Col24a1
71357	5430435K18Rik
71361	Aifm2
71362	5430440P10Rik
71363	Krtap7-1
71365	Pdss2
71367	Chst9
71368	5430431A17Rik
71369	Krtap16-3
71370	5430433H01Rik
71371	Arid5b
71373	Prr16
71375	Foxn3
71382	Pex1
71384	5430440L12Rik
71385	5430434G16Rik
71386	Krtap28-13
71388	5530401A14Rik
71389	Chd6
71390	Slc6a19os
71392	5430401F13Rik
71393	Kctd6
71395	5430419D17Rik
71398	5430427O19Rik
71405	Fam83c
71406	5430416O09Rik
71409	Fmnl2
71410	5430425E15Rik
71412	Dhrs2
71413	5430410E06Rik
71414	5430427G11Rik
71416	5430425K12Rik
71420	5530400N10Rik
71421	Amtn
71422	5430428K19Rik
71424	5430430B14Rik
71425	Bpifb9a
71430	5430416B10Rik
71432	5430437J10Rik
71435	Arhgap21
71436	Flrt3
71443	5530402H23Rik
71445	5530601H04Rik
71446	Wrb
71447	5530402G07Rik
71448	Tmem80
71449	Mettl13
71452	Ankrd40
71453	Krtap2-4
71454	6620401J10Rik
71456	8430401P03Rik
71457	7420701I03Rik
71458	Bcor
71461	Ptk7
71465	8430413B15Rik
71466	8430415D16Rik
71468	Obox1
71469	8430416G17Rik
71471	8430422J01Rik
71472	Usp19
71473	8430423G03Rik
71474	Ppp6r2
71475	8430413D17Rik
71481	Alpk1
71484	8430415O14Rik
71489	Bcas3os1
71491	8430418B16Rik
71492	Bbs7
71494	8430406P12Rik
71501	8430425A16Rik
71507	8430437B07Rik
71508	Zfp935
71510	8430436N08Rik
71511	9030601B04Rik
71512	9030419F21Rik
71513	9030607L20Rik
71514	Sfpq
71517	9030624J02Rik
71519	Cyp2u1
71520	Grap
71521	Pds5a
71522	Ggt6
71523	8430429K09Rik
71524	8430432A02Rik
71526	9030607J07Rik
71528	9030404E10Rik
71529	Kazn
71532	Fam217b
71533	9030407C09Rik
71534	9030408N04Rik
71535	9030411M13Rik
71536	8430437O03Rik
71538	Fbxo9
71542	8430439C15Rik
71544	Arhgap42
71545	9030625G05Rik
71554	8430427G23Rik
71556	8430434A19Rik
71561	8430437N05Rik
71562	Afmid
71564	Izumo4
71565	9030418E23Rik
71566	Clmp
71567	Mcm9
71569	9030613N10Rik
71573	9130025I19Rik
71575	9130001E16Rik
71576	9130409J20Rik
71578	Sval1
71581	9130015A21Rik
71583	9130008F23Rik
71584	Gdpd2
71585	9130403I23Rik
71586	Ifih1
71588	9130009M17Rik
71591	Zfp251
71592	Pogk
71594	9130009I01Rik
71597	Isx
71599	Senp8
71601	Ceacam20
71602	Myo1e
71603	9130004J05Rik
71604	9130413E14Rik
71607	Snx20
71609	Tradd
71611	9130022K11Rik
71612	9130410C08Rik
71613	9130015L21Rik
71617	9130011E15Rik
71619	Arl14
71620	9130016M20Rik
71621	4833404L02Rik
71623	Krtap5-2
71624	4833411C07Rik
71633	4833414E09Rik
71637	4930413F20Rik
71638	4930431F10Rik
71639	4930430E12Rik
71640	Zfp949
71641	4930415K08Rik
71642	4930413E20Rik
71643	Zgrf1
71647	4930447N08Rik
71648	Optn
71650	4930456L15Rik
71653	Shtn1
71654	4930518P08Rik
71655	4930518F22Rik
71656	4930513L20Rik
71657	Srrm3os
71660	Rarres2
71661	0610005C13Rik
71664	Mettl7b
71665	Fuca1
71667	Tmem248
71670	Acy3
71671	0610009F21Rik
71673	Rnf215
71675	0610010F05Rik
71676	0610012D04Rik
71678	Brox
71679	Atp5h
71681	0610009K14Rik
71682	Wdr27
71683	Gypc
71684	Rbm43
71685	Galnt14
71687	Tmem25
71688	0610042B02Rik
71690	Esm1
71691	Pnmal1
71692	0710005I21Rik
71693	Colec11
71695	0910001E24Rik
71697	0710008F09Rik
71699	Slc41a3
71701	Pnpt1
71702	Cdc5l
71703	Armcx3
71704	Arhgef3
71706	Slc46a3
71707	Ubiad1
71709	Syde1
71710	Lrrcc1
71711	Mus81
71712	Dram1
71713	Cdc40
71715	Dhx35
71718	Telo2
71719	1200003I10Rik
71720	Osbpl3
71721	Fam13c
71722	Cic
71723	Dhx34
71724	Aox3
71726	Smug1
71728	Stk11ip
71729	Rgs12
71732	Vps11
71733	Susd2
71735	Lrwd1
71738	Mamdc2
71739	1200015M12Rik
71740	Nectin4
71742	Ulk3
71743	Coasy
71745	Cul2
71746	Rgl3
71750	R3hdm2
71751	Map3k13
71752	Gtf3c2
71753	Tmprss6
71754	Cyp2d40
71755	Dhdh
71756	Cpn2
71760	Etnppl
71761	Amdhd1
71764	C2cd2l
71765	Klhdc3
71766	Raver1
71767	Tysnd1
71768	Vwce
71769	Bbs10
71770	Ap2b1
71772	Plbd2
71773	Ugt2b1
71774	Shroom1
71775	1300017J02Rik
71776	Tha1
71777	Ing3
71778	Klhl5
71779	March8
71780	Isyna1
71781	Slc16a14
71782	Ankle2
71783	Maskbp3
71785	Pdgfd
71787	Trnau1ap
71790	Anxa9
71791	Cpa4
71793	Ints12
71795	Pitpnc1
71797	Chst13
71799	Ptcd1
71801	Plekhf2
71802	1500010C09Rik
71803	Slc25a18
71804	Mtfr2
71805	Nup93
71807	Tars2
71810	Ranbp3
71811	2610027H17Rik
71813	2610028J07Rik
71815	2810414N06Rik
71816	Rnf180
71817	Tmem50a
71818	3200001D21Rik
71819	Kif23
71820	Wdr34
71824	1700006A11Rik
71826	1700001F09Rik
71827	Lrrc34
71828	Gtf2a1l
71829	Ddi1
71830	Pdilt
71831	1700007B14Rik
71832	Csl
71833	Dcaf7
71834	Zbtb43
71835	Lancl2
71836	Shcbp1l
71837	1700003E16Rik
71838	Phf7
71839	Osgin1
71840	Tekt4
71841	Tcp11x2
71843	R3hcc1
71844	Nupl1
71846	Syce2
71847	Btbd35f1
71848	1700024J04Rik
71853	Pdia6
71854	Dpep3
71855	1700015O11Rik
71856	Wfdc3
71860	Cfap52
71861	Zswim2
71862	Gpr160
71863	Tex44
71864	Fam217a
71865	Fbxo30
71867	1700016G22Rik
71868	Thegl
71869	Serpinb12
71870	Cfap45
71872	Aox4
71873	2310003N18Rik
71874	2310007B03Rik
71875	2300010F08Rik
71876	Cenpu
71877	Efhc1
71878	Fam83d
71881	Apmap
71883	Coq2
71884	Chit1
71885	Faap100
71886	2310002L09Rik
71887	Ppm1j
71888	Krt33a
71889	Epn3
71890	Mad2l2
71891	Cdadc1
71893	Noxo1
71897	Lypd6b
71898	Apol9b
71900	Tmem106b
71901	Fam219a
71902	Cand1
71903	Ces2f
71904	Paqr7
71907	Serpina9
71908	Cldn23
71909	Haus5
71910	Plpp5
71911	Bdh1
71912	Jsrp1
71913	Tmem79
71914	Antxr2
71915	2310058F05Rik
71916	Dus4l
71918	Zcchc24
71919	Rpap3
71920	Epgn
71921	2310058N22Rik
71923	Borcs6
71924	Tube1
71927	Itfg1
71928	2310047K21Rik
71929	Tmem123
71930	2310043M15Rik
71931	Ift88os
71932	Ephx3
71934	Car13
71939	Apol6
71941	Cars2
71943	Tom1l1
71946	Endod1
71947	Tmem94
71949	Cers5
71950	Nanog
71951	Gpc2
71952	Riox1
71954	Suds3
71955	Ist1
71956	Rnf135
71957	Ints11
71960	Myh14
71962	Gatsl3
71963	Cdca4
71966	Nkiras2
71967	Mageb16
71968	Wdr73
71970	Zbed5
71971	Zswim1
71972	Dnmbp
71973	Rbpms2
71974	Prmt3
71978	Ppp2r2a
71979	Prr23a3
71981	Tdrd12
71982	Snx10
71983	Tmco6
71984	Sars2
71985	Acad10
71986	Ddx28
71988	Esco2
71989	Rpusd4
71990	Ddx54
71991	Ercc8
71994	Cnn3
71995	Erv3
71996	Fthl17a
71997	Smg9
71998	Slc25a35
71999	Fbxo22
72000	Lmntd2
72002	Slc39a5
72003	Synpr
72007	Fndc3b
72008	Zfyve19
72012	1600020E01Rik
72014	Btbd17
72016	1600002H07Rik
72017	Cyb5r1
72018	Fundc1
72019	1500005C15Rik
72020	Zfp654
72022	Slc35f2
72023	Cyb561d1
72025	1600012P17Rik
72026	Trmu
72027	Slc39a4
72029	Cnpy3
72030	1600025M17Rik
72033	Tsc22d2
72039	Mccc1
72040	Cdhr5
72041	Alkbh4
72042	Cotl1
72043	Sulf2
72045	Mfsd4b2
72046	Urgcp
72047	Ddx42
72049	Tnfrsf13c
72050	Kdelc1
72053	Tmub2
72054	Cyp4f18
72055	Slc38a10
72056	1810055G02Rik
72057	Phf10
72058	Igsf5
72061	2010111I01Rik
72065	Rap2c
72068	Cnot2
72070	2010313P22Rik
72074	Anks4b
72075	Ogfr
72076	Mospd4
72077	Gcnt3
72079	2010013B24Rik
72080	Sapcd2
72082	Cyp2c55
72083	Mzt2
72084	Pigx
72085	Osgepl1
72087	2010015M23Rik
72088	Ush1c
72090	Entpd8
72091	Snhg7
72092	2010320H13Rik
72093	2010320M18Rik
72094	Ugt2a3
72096	Mettl10
72097	2010300C02Rik
72098	Tmem68
72102	Dusp11
72103	Aplf
72104	2010106C02Rik
72106	Jmjd8
72107	Dscc1
72108	Ddhd2
72112	Ppp1r14d
72113	Adck1
72114	Zbed3
72117	Naa50
72119	Tpx2
72121	Dennd2d
72122	2010308F09Rik
72123	Ccdc71l
72124	Seh1l
72125	Amer2
72128	2610008E11Rik
72129	Pex13
72131	2010310C07Rik
72133	Trub1
72134	2600014E21Rik
72135	Pygo1
72136	Chst14
72137	Wdsub1
72139	2610044O15Rik8
72140	Cep89
72141	Adpgk
72144	Slc37a3
72145	Wdfy3
72146	2810001A02Rik
72147	Zbtb46
72148	Tdrp
72149	Strada
72151	Rfc5
72153	2610020P09Rik
72154	Zfp157
72155	Cenpn
72157	Pgm2
72159	Gm9726
72160	Tmem163
72162	Dhx36
72167	Thumpd2
72168	Aifm3
72169	Trim29
72170	Chchd4
72171	Shq1
72175	Mfsd8
72179	Fbxl2
72180	Zfp661
72181	Nsun4
72183	Snx6
72184	Klhl35
72185	Dbndd1
72190	2510009E07Rik
72193	Scaf11
72194	Fbxl20
72195	Supt7l
72197	2610037P13Rik
72198	Skiv2l2
72199	Mms19
72201	Otud6b
72203	2610507I01Rik
72205	Eml2
72206	1700001I21Rik
72207	1700003K11Rik
72208	1700016L21Rik
72210	1700022C07Rik
72211	1700025C18Rik
72212	1700019H22Rik
72215	1700001P01Rik
72217	Kbtbd8os
72218	Rab11fip4os2
72219	Spata31d1a
72221	1700021F07Rik
72223	1700015P03Rik
72224	1700001J11Rik
72225	1700003M07Rik
72226	1700019L13Rik
72228	1700021L22Rik
